0,763770,1454854,357925,363147,396193,341652,402449,1891546,692751,5522393,5299394,1515209,477665,1734015,268423,5544987,4045793,825923,1752702,380023,423508,375823,2939463,4327440,423698,477138,808415,286274,828825,2356968,10391070,713989,401748,1637424,367245,1178801,452235,404244,296496,1434324,316590,345596,475326,433137,290001,340574,305017,3112225,331228,1097447,3056240,300254,700002,1390886,846986,319714,273052,417271,503299,1021447,9319888,5555748,507228,373891,370958,2343080,5888129,273000,310781,519762,1246527,378135,554366,395091,392062,846541,4833891,337020,439217,443681,311133,405479,425590,4418286,599230,3479227,548402,1334379,345674,316540,367618,1739279,407955,410636,425993,483050,374046
763770,0,1237370,840739,861143,890525,838802,892623,1780682,580415,5284607,5011836,1269739,674565,1478187,776401,5314503,3774799,618123,1559378,699725,914692,867881,2718785,4053684,910132,962712,677615,797284,591419,2195998,10295180,570247,890522,1379744,860561,968589,941669,893116,799132,1222708,815740,860918,962812,696337,785687,839432,801133,2860801,728694,809121,2768640,793922,555632,1130436,570188,737364,755370,711383,655529,823967,9111476,5439786,650240,873849,866038,2097896,5625969,769088,807741,661850,1018517,867163,626356,888373,901168,597537,4594861,740992,928671,933425,812301,893593,917598,4141360,600920,3249925,624718,1008037,725960,813752,863326,1568741,900135,898184,911679,971672,722588
1454854,1237370,0,1529773,1540427,1580327,1525580,1584981,1412716,1291739,4841817,4585798,993217,1390165,1083675,1461013,4912799,3361953,1180107,1218278,1406849,1611758,1529859,2415565,3611742,1604816,1667064,1186905,1472842,1201915,1896128,9875418,1273811,1577760,994732,1538777,1074185,1640443,1577848,1481086,984148,1496346,1542108,1642000,1403851,1474825,1521362,1479149,2423273,1435412,1098387,2321008,1486456,1251756,991112,1224630,1437104,1453626,1424533,1372321,1113647,8814712,5108912,1364242,1552533,1544440,1742664,5236179,1452042,1491375,1374912,1097099,1557583,1339666,1578445,1594288,1199519,4216547,1438842,1627195,1630237,1487157,1586855,1610946,3703934,1324114,2871757,1337298,1013703,1420308,1487256,1541298,1216559,1590367,1594330,1608139,1673302,1429290
357925,840739,1529773,0,183430,208458,186909,215840,1930671,751358,5552750,5396689,1619474,546944,1823156,328854,5644392,4150398,898634,1837515,484380,242073,199678,3025072,4419909,214141,288509,874542,288793,936168,2409627,10378925,811182,216947,1724547,180908,1271604,271000,222447,268543,1525229,230585,185199,285417,526190,292840,175455,265988,3205166,427339,1204878,3162065,286623,804127,1497671,948047,422259,369127,490754,576344,1109894,9396321,5610013,597407,196790,184255,2437145,5995838,326301,277774,600583,1321730,199614,648617,213152,228955,932760,4930286,414945,254684,260502,259774,221212,244991,4515437,704663,3553786,654501,1430504,452565,276033,184193,1831356,224990,229291,238786,292749,430693
363147,861143,1540427,183430,0,189276,200103,193038,1927513,798178,5545892,5432539,1630198,589442,1827576,338090,5658588,4163234,916460,1843577,508536,208119,167100,3037560,4465617,211101,256769,883192,305603,947718,2396635,10404733,827528,196729,1727765,156078,1262654,232552,195009,280717,1537741,234863,161017,253207,533816,302352,189885,273502,3219490,443011,1214290,3174089,284809,813135,1513079,964279,435445,382253,502876,576684,1117410,9404889,5612875,614865,179196,180973,2444501,6013340,345963,289588,599735,1332766,178880,657515,187828,203147,951026,4944794,424769,198082,222928,262796,198988,213395,4534717,717983,3586644,677015,1450928,469091,286381,163219,1841828,202508,202741,213394,261417,440923
396193,890525,1580327,208458,189276,0,225855,94396,1943065,826044,5558616,5466247,1664756,618702,1870822,376970,5696214,4197434,947940,1868795,543368,135037,168186,3062690,4495985,129099,183399,885650,340783,962680,2441357,10424257,838362,113995,1760599,185792,1309176,164994,112363,318895,1573239,273229,171561,182951,572974,332954,222131,312910,3257438,487883,1254606,3225167,319297,843545,1551251,990291,474711,418263,522474,590452,1154120,9430915,5601321,655151,216538,207265,2480083,6051068,393345,311708,625989,1362212,158182,693801,116558,123899,971404,4975122,454907,148494,155396,291106,117402,138805,4575227,760569,3616090,712199,1499198,507749,325131,185807,1874142,138844,124845,137596,188741,465549
341652,838802,1525580,186909,200103,225855,0,227607,1931374,777817,5553325,5413338,1607993,568287,1815041,322685,5639779,4142265,893793,1828876,479597,235550,214193,3011445,4439936,238368,286828,877193,264972,937697,2407364,10393424,806997,229970,1717010,198639,1262805,263025,229636,268028,1517802,221550,201394,283022,518199,287407,159750,261743,3200351,423966,1201891,3158426,279672,794114,1491030,945436,409610,365248,481641,571855,1084645,9392848,5603426,593358,209351,204452,2420996,5991249,315868,275407,590692,1321321,216175,641466,214003,230784,927293,4922599,408096,254609,253957,251307,232115,244762,4514990,698922,3566769,651670,1431803,453882,272184,206248,1827309,234863,237086,238239,292432,430200
402449,892623,1584981,215840,193038,94396,227607,0,1943599,836276,5562768,5471909,1671064,626226,1873780,381198,5700108,4204692,959858,1873035,547138,130805,173694,3063364,4497357,121967,178673,888976,346127,967442,2446069,10426939,842508,109231,1760957,192364,1318208,155736,120699,322373,1578801,278749,176969,177269,579508,341020,224313,316064,3263874,491659,1261350,3227697,318165,850039,1554801,996831,475993,423381,522792,595712,1158800,9437805,5604383,656781,223230,215423,2482651,6060826,397461,314824,627993,1367522,167158,696001,119216,115505,979800,4981886,459763,142890,150222,301012,113444,132673,4581421,765361,3621778,719427,1507290,510653,325685,190701,1879994,146458,118969,131542,181495,474283
1891546,1780682,1412716,1930671,1927513,1943065,1931374,1943599,0,1850509,4569861,4396962,1487773,1881391,1370139,1906407,4723969,3192129,1730973,1270496,1886981,1960586,1934229,2282547,3450404,1963244,1999402,1690731,1921662,1772645,1698494,9566116,1813975,1946894,1369332,1921771,1597377,1979505,1948850,1917588,1466366,1921210,1923620,1999434,1881293,1915133,1927788,1915913,2203819,1898970,1648925,2129446,1895298,1783920,1499558,1784452,1893994,1897304,1887685,1854077,1623337,8697730,4810390,1885284,1931751,1935368,1570888,5088121,1909172,1923185,1854860,1603637,1937629,1874232,1946935,1955228,1748835,4110851,1882098,1969385,1969693,1894955,1926153,1955778,3520740,1879652,2718361,1879376,1538627,1885940,1932644,1924076,1340107,1952011,1955364,1957955,2006318,1862744
692751,580415,1291739,751358,798178,826044,777817,836276,1850509,0,5343830,5033919,1306870,567702,1522530,711990,5348414,3814102,650982,1617325,620478,861557,808042,2743722,4080843,826153,914269,691908,726433,621876,2244561,10317045,529268,836223,1435641,798838,1016880,890314,835717,736937,1270871,748823,800153,910055,614642,725496,778843,741926,2910960,658173,862622,2811047,742753,572971,1173693,614457,670175,696453,636466,592366,863716,9150051,5508413,567917,815188,805119,2156807,5670684,710089,747502,579677,1068392,812872,548645,828250,853163,635932,4631150,665409,877172,879566,753880,839822,866337,4176565,520843,3265914,541925,1090928,645955,748641,802199,1615630,844542,847567,860574,919871,650649
