0,297640,882734,136288,168054,159489,178601,137263,173542,798604,376247,3253058,3655415,832413,229819,911082,99289,3606225,2548786,482982,889796,2756234,193702,93341,185690,169094,120267,1495468,3473110,193353,228948,313260,99896,447556,174448,977401,119132,651219,173162,113750,1589229,128931,168290,228304,227010,351648,198323,91499,118764,7312966,91803,385385,326133,820475,641701,149690,140526,162776,1625457,345274,233862,468302,6112671,2848944,335178,764395,98190,132236,160486,216836,1422306,3142194,108464,202090,684814,144708,187594,1655116,215367,535724,1310195,700318,180740,146843,148924,1926376,195178,288082,164627,189413,443447,704443,147153,93829,381462,90217,164887,198148,200849,105592,174600,197248,153230,199164,2963668,441708,1746801,1541553,174885,220807,838034,209903,173139,753079,192801,102297,2812756,232613,104061,110087
297640,0,746230,347526,377386,371103,385547,351209,383534,657006,234207,3105154,3511751,685337,205967,770398,288479,3461703,2405182,342486,751130,2620016,225522,304119,394232,380868,326501,1355438,3335004,404889,441618,180894,309356,303216,383232,837553,327410,514393,384410,324834,1455307,339305,376734,440686,439116,205806,225337,298069,326442,7173898,300901,244705,183597,678001,495467,359226,259108,245770,1479049,206042,198418,334774,5972805,2706988,192824,625157,291320,344030,369192,213802,1285510,2999084,315396,218568,543172,350952,231086,1518308,212245,397220,1168225,560082,240208,255435,358676,1775192,406184,165822,372955,398791,305853,567339,357801,288399,243952,297877,245199,407710,410111,314360,381610,407046,358218,410810,2827630,296344,1602293,1398919,384067,433685,700420,422631,382051,610731,405491,311745,2680420,445099,282937,280299
882734,746230,0,941396,968856,962271,979231,941521,978248,426092,699823,2712536,3125993,399669,793621,377690,881733,3066319,1998736,625136,368550,2237026,816898,898565,987828,969586,922153,967662,2947660,995913,1032194,746356,905318,645316,974414,448093,923052,521959,976096,918148,1070123,934099,970842,1031550,1030256,710518,818665,894759,921754,6773006,895415,685195,734029,404805,519885,954080,849358,833794,1083227,712690,786380,634404,5591649,2332210,716242,440639,886636,935124,962460,801932,895750,2616262,913688,810206,496564,946940,820042,1129658,801033,592260,771479,477712,831254,852815,951216,1364714,997300,751968,964819,989829,646687,481015,951763,887163,699240,892547,841551,1001214,1001607,911512,975572,997712,956342,1001428,2439942,650168,1217935,1025549,976439,1024203,395798,1012829,975783,445309,995989,904617,2295190,1035859,877411,876375
136288,347526,941396,0,86126,79895,98117,61635,97440,849370,423969,3302572,3706239,878717,275501,962086,145153,3651899,2599252,528706,934306,2807740,244302,124377,107650,90510,90125,1544764,3522722,113161,156030,362498,114978,492122,95508,1026175,87594,694329,95902,96952,1634621,68485,89188,155878,152944,401830,245767,134855,93334,7360600,129043,434757,366873,865069,689907,73600,189600,217916,1675825,400866,286264,513744,6161573,2895228,386666,817707,147632,63756,84808,267250,1470642,3188266,101578,256722,734956,69780,237868,1705662,263093,583182,1361645,751456,231580,194967,74518,1976104,120882,340368,86533,114465,492407,752117,69325,146773,426964,134909,215919,124342,126027,109528,95038,120982,75088,124914,3015526,488868,1795201,1588747,101289,149067,888440,137333,95477,805111,118401,108803,2864462,159537,155097,158415
168054,377386,968856,86126,0,50301,54281,84809,53682,875064,456839,3328850,3734127,912285,312093,990114,177543,3684135,2627054,562352,963460,2835406,273994,152215,61106,47754,119897,1571958,3556310,70169,111030,388256,145520,524212,50298,1051805,118808,723781,53334,124776,1664087,101313,44644,110936,108520,426514,275139,164317,121694,7386600,160329,461141,395349,893651,718515,68128,223132,245918,1704741,426698,316530,543972,6187209,2922142,415594,846479,175578,95684,50664,297154,1502138,3217186,132700,289348,768104,75848,268244,1736112,296739,614606,1390937,778840,259058,226199,69804,2010092,74442,369922,49047,66829,521029,780573,75537,176105,454196,163021,242271,76588,78995,138930,50780,73932,63842,76336,3044074,522358,1823677,1616139,52237,102799,918524,91453,49309,833141,73449,138133,2892576,114253,185457,189895
159489,371103,962271,79895,50301,0,59838,75890,60485,873563,449816,3324633,3731154,905700,304114,985333,170132,3676960,2621399,555171,958477,2828087,269539,147000,70995,49389,113496,1568773,3548909,79652,119443,380163,139563,519189,61051,1049782,113287,719908,62153,118487,1658878,95610,53605,119553,116459,422305,269664,160088,116949,7383049,154660,457514,391504,889378,712214,64983,218611,239517,1700544,423955,310199,537483,6182204,2914935,410483,840670,170633,89621,47719,289697,1495689,3210419,128033,286047,761437,73235,262201,1731217,291278,609121,1385778,774227,253079,220232,63437,2003589,84393,363657,50358,76848,517182,774370,70792,172042,450427,158888,238056,87343,88972,134465,58149,86059,60223,86609,3038401,516993,1819940,1613116,61602,111722,914027,100264,57578,827580,82234,133672,2888055,122994,180352,184848
178601,385547,979231,98117,54281,59838,0,94464,38939,888343,464748,3338553,3747506,922860,320164,1003897,187136,3693594,2636431,571497,974205,2844849,285813,163946,45827,46671,127988,1584969,3565947,54676,96293,391657,154745,536087,36817,1065984,129331,733338,41479,131801,1675092,110572,53159,96119,93473,439331,287182,174186,128763,7398393,170338,470038,406852,901994,725846,79383,234315,256135,1717468,441259,326309,556677,6196584,2930785,425289,857282,187315,107091,63497,305949,1511083,3224857,141975,300977,778587,86823,278299,1748323,306862,624913,1400150,787849,270411,238112,79451,2020033,58933,380687,58382,51978,530542,791472,84090,187822,463579,173326,253796,63867,65472,148717,45073,61003,76355,63009,3055675,530933,1832290,1629070,37936,88794,928313,78290,39334,843992,60092,152064,2900733,100056,195812,201006
137263,351209,941521,61635,84809,75890,94464,0,93755,849063,427096,3303051,3708724,880458,281794,965387,147680,3654628,2598709,533135,938305,2805389,248001,124142,103789,83511,92824,1546467,3527265,112308,153139,362641,117155,497147,96091,1028834,91613,698462,94145,98203,1634932,74204,85731,153857,150815,401853,250684,138762,95855,7362269,134574,434674,370796,870928,691342,71769,193847,218557,1678902,401295,288575,516643,6162684,2900131,386659,822318,151447,67475,80335,268019,1475305,3189627,101415,264535,738949,65105,240819,1708771,269776,589125,1361728,756183,233311,199404,70257,1983081,118755,345271,83984,109954,494722,755676,67392,149700,427017,137956,217730,121903,123500,115291,94469,118335,72543,121303,3018281,493081,1796378,1590174,96518,146026,893355,134750,93328,805096,115134,111788,2864345,156686,159466,161182
173542,383534,978248,97440,53682,60485,38939,93755,0,886922,461247,3334932,3745007,920265,318463,1003244,184969,3691113,2635382,568238,973488,2844052,283268,163777,48762,44620,126703,1579950,3563242,59235,99158,394144,151782,535082,41090,1063251,125204,733683,41088,131626,1676727,107925,49248,100080,95374,435912,284443,173309,125896,7391910,168863,467439,406743,903497,728139,77538,231980,253576,1715905,434336,322720,551698,6194311,2931060,424270,854841,185442,104572,59146,302504,1509296,3222946,138082,297908,773460,84132,276462,1744554,305207,623740,1398607,788876,267962,236399,76414,2017770,64222,376990,56841,56019,530483,790113,83267,184525,461678,174651,252513,65684,68025,147562,43524,63624,72992,68180,3050950,528514,1831719,1626719,40543,91361,925900,80047,38953,843493,62601,147141,2899816,102819,193241,197677
798604,657006,426092,849370,875064,873563,888343,849063,886922,0,601865,2776390,3190503,348811,704633,444968,787443,3123419,2063476,536498,428676,2292942,726180,804433,896500,882634,830845,1026738,3009530,905003,945576,655108,809614,561370,886404,513155,828930,434683,885944,826080,1129923,839673,880400,945512,943234,626596,724421,798109,825414,6837996,799301,598221,640805,361323,435941,859976,759920,748464,1142205,626018,701466,547640,5652855,2387572,632316,355909,792056,845060,870070,711196,960372,2678386,818862,719794,409836,856732,729208,1191958,712217,508040,836655,390574,736198,757621,863088,1431020,911046,668692,874867,902065,560823,390787,855091,791595,608920,798225,743801,913196,915259,815484,883232,908514,862740,914310,2501442,564306,1282771,1085681,888781,938049,377772,925225,885861,356349,908735,811195,2355674,948987,781889,782079
376247,234207,699823,423969,456839,449816,464748,427096,461247,601865,0,3052521,3464884,630584,277490,718193,360646,3408260,2351361,294131,697833,2569831,302323,379014,472859,456461,403044,1301693,3289745,483042,524059,228103,387473,253403,463287,787412,401625,462908,465465,401155,1400066,415940,457539,523569,520027,199473,301050,373748,402447,7120669,379186,184318,216130,628686,443152,439657,338305,324053,1424978,199341,274557,287817,5927164,2658339,209729,575594,367113,421573,450129,285409,1237271,2958621,398769,293171,492229,431911,303089,1464869,287576,344805,1123180,517331,312471,334678,438177,1724845,489597,238663,453042,477726,256808,523062,435466,369354,194643,373876,318892,490597,493450,389825,461855,488045,439623,491001,2777139,247267,1556242,1353518,465844,516336,652689,505164,463110,562742,487386,387038,2626349,526574,362308,358270
